Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
MYH 2022/2936,"Göteborgs Stad, Yrgo",Creo för CAD-konstruktörer,Teknik och tillverkning,0,0,0,0,0,20,40,0,0,0,0,0,0,0,20,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2022/2937,"Stockholms stad, Frans Schartaus Handelsinstitut",Dataanalys för besöksnäringen,"Ekonomi, administration och försäljning",0,0,0,0,0,30,60,0,0,0,0,0,0,0,55,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2022/2939,ALEA Kompetenshöjning AB,Rörnätsinspektör Mark,Samhällsbyggnad och byggteknik,0,0,0,0,0,15,30,0,0,0,0,0,0,0,45,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2022/2941,Nercia Utbildning,Auktorisation Högspänning och förnyelsebar energi,Teknik och tillverkning,0,0,0,0,0,30,30,0,0,0,0,0,0,0,50,Trollhättan,Västra Götaland,Trollhättan-Vänersborg,1,1,1
MYH 2022/2954,Borås Stad - Yrkeshögskola i Borås,Growth Hacking,"Ekonomi, administration och försäljning",0,0,0,0,0,30,60,0,0,0,0,0,0,0,30,Borås,Västra Götaland,Borås,1,1,1
MYH 2022/2964,Medieinstitutet i Sverige AB,Hållbar produktion inom film och TV,"Kultur, media och design",0,0,0,0,0,30,90,0,0,0,0,0,0,0,60,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2022/2974,Stockholm School of Business,Systemförvaltning för lönespecialister,"Ekonomi, administration och försäljning",0,0,0,0,0,0,70,0,0,0,0,0,0,0,50,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2022/2976,ABF Göteborg Vuxenutbildning AB,Design av digital didaktik,Pedagogik och undervisning,0,0,0,0,0,0,60,0,0,0,0,0,0,0,40,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2022/2982,Umeå kommun - Forslundagymnasiet,Hållbar ekonomistyrning och arbetsledning i lantbruksföretaget,"Ekonomi, administration och försäljning",0,0,0,0,0,35,35,0,0,0,0,0,0,0,65,Umeå,Västerbotten,Umeå,1,1,1
MYH 2022/2984,Stockholm School of Business,IT-säkerhet,Data/IT,0,0,0,0,0,30,70,0,0,0,0,0,0,0,40,Göteborg,Västra Götaland,Göteborg,1,1,1
