Anordnare standard,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025,Antal kommuner,Anordnare ren
Campus AB,Lidköpings kommun Campus Lidköping,Samhällsbyggnad och byggteknik,20,30,30,0,0,0,2,lidköpings campus lidköping
Campus AB,Lidköpings kommun Campus Lidköping,Teknik och tillverkning,0,0,0,0,20,20,1,lidköpings campus lidköping
Malmö Tillskärarakademi AB,Malmö Tillskärarakademi AB,Teknik och tillverkning,0,15,25,40,70,70,5,tillskärarakademi
"Mariestads kommun, Dacapo Mariestad","Mariestads kommun, Dacapo Mariestad","Lantbruk, djurvård, trädgård, skog och fiske",0,44,115,150,150,75,11,mariestads
MedLearn AB,MedLearn AB,"Ekonomi, administration och försäljning",0,30,60,90,0,0,2,medlearn
MedLearn AB,MedLearn AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,35,35,5,medlearn
MedLearn AB,MedLearn AB,Pedagogik och undervisning,0,0,0,30,30,30,3,medlearn
Medborgarskolan Mälardalen,Medborgarskolan Mälardalen,Samhällsbyggnad och byggteknik,0,30,30,0,0,0,1,medborgarskolan mälardalen
Medborgarskolan i Stockholm - Påhlmans Handelsinstitut,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut,Samhällsbyggnad och byggteknik,70,0,0,0,0,0,2,medborgarskolan i påhlmans handelsinstitut
Medborgarskolan i Stockholm - Påhlmans Handelsinstitut,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ,"Ekonomi, administration och försäljning",0,0,0,0,35,0,1,medborgarskolan i påhlmans handelsinstitut
Medborgarskolan i Stockholm - Påhlmans Handelsinstitut,Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ,Samhällsbyggnad och byggteknik,0,0,30,30,0,0,1,medborgarskolan i påhlmans handelsinstitut
Medieinstitutet i Sverige AB,Medieinstitutet i Sverige AB,Data/IT,0,0,0,190,257,137,14,medieinstitutet i sverige
Medieinstitutet i Sverige AB,Medieinstitutet i Sverige AB,"Ekonomi, administration och försäljning",230,380,340,275,280,200,18,medieinstitutet i sverige
Medieinstitutet i Sverige AB,Medieinstitutet i Sverige AB,Journalistik och information,0,0,0,0,50,50,2,medieinstitutet i sverige
Medieinstitutet i Sverige AB,Medieinstitutet i Sverige AB,Juridik,0,0,0,60,130,70,2,medieinstitutet i sverige
Medieinstitutet i Sverige AB,Medieinstitutet i Sverige AB,"Kultur, media och design",0,30,90,180,0,0,8,medieinstitutet i sverige
Montico Kompetensutveckling AB,Montico Kompetensutveckling AB,"Ekonomi, administration och försäljning",0,40,40,60,60,60,6,montico kompetensutveckling
Montico Kompetensutveckling AB,Montico Kompetensutveckling AB,Pedagogik och undervisning,0,0,0,30,0,0,1,montico kompetensutveckling
Movant AB,Movant AB,Samhällsbyggnad och byggteknik,0,0,0,75,0,0,1,movant
Movant AB,Movant AB,Teknik och tillverkning,0,0,60,30,0,0,2,movant
Movant AB,Movant AB,Transporttjänster,0,0,0,25,25,25,2,movant
Mölk Utbildning AB,Mölk Utbildning AB,Data/IT,0,0,0,0,70,70,2,mölk utbildning
NBI i Sverige AB ,NBI i Sverige AB ,"Ekonomi, administration och försäljning",0,0,0,80,160,80,4,nbi i sverige
Nackademin AB,Nackademin AB,Data/IT,70,70,155,300,112,112,15,nackademin
Nackademin AB,Nackademin AB,"Ekonomi, administration och försäljning",40,0,0,0,0,0,1,nackademin
Nackademin AB,Nackademin AB,Hälso- och sjukvård samt socialt arbete,40,40,0,40,40,40,3,nackademin
Nackademin AB,Nackademin AB,Journalistik och information,0,0,40,160,120,0,3,nackademin
Nackademin AB,Nackademin AB,"Kultur, media och design",0,35,70,0,0,0,1,nackademin
Nackademin AB,Nackademin AB,Samhällsbyggnad och byggteknik,0,30,203,536,304,154,21,nackademin
Nackademin AB,Nackademin AB,Säkerhetstjänster,0,0,0,0,30,30,1,nackademin
Nackademin AB,Nackademin AB,Teknik och tillverkning,30,30,0,0,0,0,1,nackademin
Nercia Utbildning,Nercia Utbildning,"Ekonomi, administration och försäljning",0,0,0,0,35,35,1,nercia utbildning
Nercia Utbildning,Nercia Utbildning,Samhällsbyggnad och byggteknik,0,60,90,85,165,135,9,nercia utbildning
Nercia Utbildning,Nercia Utbildning,Teknik och tillverkning,0,0,30,60,60,30,3,nercia utbildning
Newton Kompetensutveckling AB,Newton Kompetensutveckling AB,"Ekonomi, administration och försäljning",0,0,0,75,0,40,4,newton kompetensutveckling
Newton Kompetensutveckling AB,Newton Kompetensutveckling AB,Juridik,0,0,0,0,0,0,1,newton kompetensutveckling
Newton Kompetensutveckling AB,Newton Kompetensutveckling AB,"Kultur, media och design",0,0,20,60,0,0,1,newton kompetensutveckling
Newton Kompetensutveckling AB,Newton Kompetensutveckling AB,Samhällsbyggnad och byggteknik,0,0,0,40,0,0,4,newton kompetensutveckling
Nyköpings kommun - Flygteknik technical training,Nyköpings kommun - Flygteknik technical training,Teknik och tillverkning,0,0,0,0,15,0,1,nyköpings flygteknik technical training
"Nässjö kommun, Nässjöakademin","Nässjö kommun, Nässjöakademin","Ekonomi, administration och försäljning",20,0,0,0,0,0,2,nässjö
Nätverkstan Kultur AB,Nätverkstan Kultur AB,"Ekonomi, administration och försäljning",0,0,0,35,0,0,2,nätverkstan kultur
Nätverkstan Kultur AB,Nätverkstan Kultur AB,"Kultur, media och design",35,0,0,35,0,0,3,nätverkstan kultur
One Academy AB,One Academy AB,"Ekonomi, administration och försäljning",100,300,240,230,170,120,15,one
"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling","Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",Hälso- och sjukvård samt socialt arbete,20,40,20,40,0,0,4,oskarshamns
"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling","Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",Teknik och tillverkning,60,200,0,0,0,0,1,oskarshamns
Plushögskolan AB,Plushögskolan AB - Affärshögskolan,"Ekonomi, administration och försäljning",70,63,130,50,100,100,7,plushögskolan affärshögskolan
Plushögskolan AB,Plushögskolan AB - Teknikhögskolan,Data/IT,0,30,30,0,0,0,1,plushögskolan teknikhögskolan
Plushögskolan AB,Plushögskolan AB - Teknikhögskolan,"Ekonomi, administration och försäljning",25,80,90,0,0,0,2,plushögskolan teknikhögskolan
Plushögskolan AB,Plushögskolan AB - Teknikhögskolan,Samhällsbyggnad och byggteknik,60,0,0,40,0,0,3,plushögskolan teknikhögskolan
Plushögskolan AB,Plushögskolan AB - Teknikhögskolan,Teknik och tillverkning,185,70,120,160,330,110,16,plushögskolan teknikhögskolan
Plushögskolan AB,Plushögskolan AB - Vårdyrkeshögskolan,Hälso- och sjukvård samt socialt arbete,35,140,410,640,150,100,20,plushögskolan vårdyrkeshögskolan
Plushögskolan AB,Plushögskolan AB - Vårdyrkeshögskolan,Pedagogik och undervisning,40,0,0,0,0,0,1,plushögskolan vårdyrkeshögskolan
Rädda Barnen Välfärd,Rädda Barnen Välfärd,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,1,rädda barnen välfärd
"Skövde kommun, Skövde Yrkeshögskola","Skövde kommun, Skövde Yrkeshögskola",Hälso- och sjukvård samt socialt arbete,15,0,0,50,65,30,4,skövde
"Skövde kommun, Skövde Yrkeshögskola","Skövde kommun, Skövde Yrkeshögskola",Teknik och tillverkning,0,0,0,25,0,0,1,skövde
Sociala Tjänstehundar i Sverige AB/Svenska Terapihundskolan,Sociala Tjänstehundar i Sverige AB/Svenska Terapihundskolan,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,20,20,1,sociala tjänstehundar i sverige svenska terapihundskolan
Stadsmissionens Yrkeshögskola,Stadsmissionens Yrkeshögskola,Hälso- och sjukvård samt socialt arbete,70,30,60,0,0,0,3,stadsmissionens yrkeshögskola
Step by Step Competence AB,Step by Step Competence AB,Data/IT,0,0,0,0,0,0,1,step by step competence
Stiftelsen Capellagården,Stiftelsen Capellagården,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,18,1,capellagården
Stiftelsen PROTEKO - Nordiska Textilakademin,Stiftelsen PROTEKO - Nordiska Textilakademin,"Ekonomi, administration och försäljning",0,0,40,120,0,0,4,proteko nordiska textilakademin
Stiftelsen PROTEKO - Nordiska Textilakademin,Stiftelsen PROTEKO - Nordiska Textilakademin,"Kultur, media och design",0,25,90,105,70,20,5,proteko nordiska textilakademin
Stiftelsen PROTEKO - Nordiska Textilakademin,Stiftelsen PROTEKO - Nordiska Textilakademin,Pedagogik och undervisning,0,0,0,15,0,0,2,proteko nordiska textilakademin
Stiftelsen PROTEKO - Nordiska Textilakademin,Stiftelsen PROTEKO - Nordiska Textilakademin,Teknik och tillverkning,65,130,25,115,0,0,7,proteko nordiska textilakademin
Stiftelsen Stockholms Tekniska Institut,Stiftelsen Stockholms Tekniska Institut,Data/IT,55,25,0,65,130,130,8,stockholms tekniska institut
Stiftelsen Stockholms Tekniska Institut,Stiftelsen Stockholms Tekniska Institut,Samhällsbyggnad och byggteknik,69,77,135,190,295,135,13,stockholms tekniska institut
Stiftelsen Stockholms Tekniska Institut,Stiftelsen Stockholms Tekniska Institut,Teknik och tillverkning,20,0,0,0,0,0,1,stockholms tekniska institut
Stiftelsen Tillskärarakademin i Göteborg,Stiftelsen Tillskärarakademin i Göteborg,Teknik och tillverkning,12,0,0,0,0,0,1,tillskärarakademin i
Stockholm School of Business,Stockholm School of Business,Data/IT,0,0,30,70,70,0,3,school of business
Stockholm School of Business,Stockholm School of Business,"Ekonomi, administration och försäljning",40,80,250,440,360,90,19,school of business
Stockholm School of Business,Stockholm School of Business,Juridik,0,0,0,40,60,60,2,school of business
Stockholms Internationella Handelsskola AB,Stockholms Internationella Handelsskola AB,Data/IT,0,0,0,0,0,0,1,stockholms internationella handelsskola
Stockholms Internationella Handelsskola AB,Stockholms Internationella Handelsskola AB,"Ekonomi, administration och försäljning",60,60,30,125,72,72,9,stockholms internationella handelsskola
Stockholms Stadsmission,Stockholms Stadsmission,Hälso- och sjukvård samt socialt arbete,0,0,0,30,0,0,4,stockholms stadsmission
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut",Data/IT,0,0,0,30,0,0,3,stockholms
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut","Ekonomi, administration och försäljning",30,40,110,165,100,30,8,stockholms
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut",Hälso- och sjukvård samt socialt arbete,0,0,0,80,80,0,1,stockholms
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut",Samhällsbyggnad och byggteknik,0,0,0,0,35,35,1,stockholms
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut",Säkerhetstjänster,0,0,0,0,30,30,1,stockholms
"Stockholms stad, Frans Schartaus Handelsinstitut","Stockholms stad, Frans Schartaus Handelsinstitut",Teknik och tillverkning,0,0,0,0,0,0,1,stockholms
Sunne kommun/Broby Grafiska,Sunne kommun/Broby Grafiska,Data/IT,0,112,0,0,0,0,2,sunne broby grafiska
Sunne kommun/Broby Grafiska,Sunne kommun/Broby Grafiska,"Kultur, media och design",0,56,0,0,0,0,1,sunne broby grafiska
Sunne kommun/Brobygrafiska,Sunne kommun/Brobygrafiska,Data/IT,0,0,0,75,30,30,3,sunne brobygrafiska
Sunne kommun/Brobygrafiska,Sunne kommun/Brobygrafiska,Journalistik och information,0,0,30,55,25,25,3,sunne brobygrafiska
Sunne kommun/Brobygrafiska,Sunne kommun/Brobygrafiska,"Kultur, media och design",0,0,0,0,0,0,1,sunne brobygrafiska
Svensk vård och kompetensutveckling i Stockholm AB,Svensk vård och kompetensutveckling i Stockholm AB,Hälso- och sjukvård samt socialt arbete,50,200,0,0,0,0,1,svensk vård och kompetensutveckling i
Sverigehälsan AB,Sverigehälsan AB,Hälso- och sjukvård samt socialt arbete,70,0,0,80,240,160,9,sverigehälsan
Sveriges Yrkeshögskola AB,Sveriges Yrkeshögskola AB - Göteborg Yrkeshögskola,Data/IT,0,0,0,0,0,0,1,sveriges yrkeshögskola yrkeshögskola
Sveriges Yrkeshögskola,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Data/IT,0,0,0,105,70,35,6,sveriges yrkeshögskola yrkeshögskola
Sveriges Yrkeshögskola,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,"Ekonomi, administration och försäljning",175,35,0,0,0,0,5,sveriges yrkeshögskola yrkeshögskola
Sveriges Yrkeshögskola,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Journalistik och information,0,0,0,0,0,0,1,sveriges yrkeshögskola yrkeshögskola
Sveriges Yrkeshögskola,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,"Kultur, media och design",0,0,0,0,0,0,1,sveriges yrkeshögskola yrkeshögskola
Sveriges Yrkeshögskola,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Pedagogik och undervisning,0,0,0,0,0,0,1,sveriges yrkeshögskola yrkeshögskola
Sälj & Marknadshögskolan i Sverige AB,Sälj & Marknadshögskolan i Sverige AB,"Ekonomi, administration och försäljning",25,60,105,70,80,80,7,sälj & marknadshögskolan i sverige
Sälj & Marknadshögskolan i Sverige AB,Sälj & Marknadshögskolan i Sverige AB,"Hotell, restaurang och turism",0,0,0,0,0,0,1,sälj & marknadshögskolan i sverige
TCC Sverige AB,TCC Sverige AB,Teknik och tillverkning,0,0,0,30,0,0,1,tcc sverige
TEC Travel Education Centre AB,TEC Travel Education Centre,"Hotell, restaurang och turism",40,0,0,0,0,0,1,tec travel education centre
TEC Travel Education Centre AB,TEC Travel Education Centre AB,"Hotell, restaurang och turism",40,0,0,60,32,32,8,tec travel education centre
TGA Utbildning AB,TGA Utbildning AB,Data/IT,0,35,35,30,0,0,2,tga utbildning
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,Data/IT,0,10,165,165,0,0,7,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,"Ekonomi, administration och försäljning",30,65,150,150,125,0,10,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,"Hotell, restaurang och turism",30,60,30,60,0,0,5,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,Hälso- och sjukvård samt socialt arbete,56,179,225,260,240,30,15,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,Samhällsbyggnad och byggteknik,40,100,40,145,80,0,11,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,Säkerhetstjänster,0,25,60,25,0,0,2,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - Yrkeshögskola,Teknik och tillverkning,0,0,40,80,0,0,1,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - yrkeshögskola,Data/IT,20,40,0,0,0,0,3,tuc sweden yrkeshögskola
TUC Sweden AB - Yrkeshögskola,TUC Sweden AB - yrkeshögskola,Samhällsbyggnad och byggteknik,15,55,0,0,0,0,2,tuc sweden yrkeshögskola
Technigo AB,Technigo AB,Data/IT,0,0,0,140,0,0,2,technigo
Technigo AB,Technigo AB,"Ekonomi, administration och försäljning",0,0,0,120,0,0,3,technigo
Tekniska Högskolan i Jönköping AB,Tekniska Högskolan i Jönköping AB,Samhällsbyggnad och byggteknik,20,40,0,0,0,0,1,tekniska högskolan i jönköping
Tekniska Högskolan i Jönköping AB,Tekniska Högskolan i Jönköping AB,Teknik och tillverkning,15,15,60,100,20,0,5,tekniska högskolan i jönköping
Tibro Hantverksakademi,Tibro Hantverksakademi,"Ekonomi, administration och försäljning",0,0,0,20,0,0,1,tibro hantverksakademi
Trelleborgs kommun,Trelleborgs kommun,"Ekonomi, administration och försäljning",0,0,0,25,0,0,1,trelleborgs
Trelleborgs kommun,Trelleborgs kommun,Hälso- och sjukvård samt socialt arbete,60,120,30,60,0,0,3,trelleborgs
Trelleborgs kommun,Trelleborgs kommun,Teknik och tillverkning,0,0,30,60,25,25,2,trelleborgs
"Uddevalla kommun, Vuxenutbildningen","Uddevalla kommun, Vuxenutbildningen","Ekonomi, administration och försäljning",25,0,0,0,0,0,1,uddevalla
Umeå kommun - Dragonskolan,Umeå kommun - Dragonskolan,Teknik och tillverkning,0,0,0,35,0,0,1,dragonskolan
Umeå kommun - Forslundagymnasiet,Umeå kommun - Forslundagymnasiet,"Ekonomi, administration och försäljning",0,0,35,35,0,0,1,forslundagymnasiet
Universal Design Ventures AB ( Under namn ändring till Funka Academy AB),Universal Design Ventures AB ( Under namn ändring till Funka Academy AB),Journalistik och information,0,0,0,80,0,0,2,universal design ventures ( under namn ändring till funka )
Utbildarna i Helsingborg AB,Utbildarna i Helsingborg AB,Pedagogik och undervisning,15,0,0,0,0,0,1,utbildarna i helsingborg
Vetlanda kommun Vetlanda Lärcentrum,Vetlanda kommun Vetlanda Lärcentrum,Samhällsbyggnad och byggteknik,0,0,0,15,0,0,1,vetlanda vetlanda lärcentrum
Vetlanda kommun Vetlanda Lärcentrum,Vetlanda kommun Vetlanda Lärcentrum,Teknik och tillverkning,0,0,0,15,15,0,1,vetlanda vetlanda lärcentrum
"Vilhelmina kommun, Vilhelmina Lärcentrum","Vilhelmina kommun, Vilhelmina Lärcentrum","Ekonomi, administration och försäljning",0,0,30,60,0,0,1,vilhelmina
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,"Ekonomi, administration och försäljning",0,0,0,20,40,0,1,västerås barn och utbildningsförvaltningen västerås yrkeshögskola
Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,Teknik och tillverkning,0,20,60,20,40,25,4,västerås barn och utbildningsförvaltningen västerås yrkeshögskola
XeDrix AB,XeDrix AB,Teknik och tillverkning,0,0,0,0,70,70,2,xedrix
Xenter Yrkeshögskola ,Xenter Yrkeshögskola ,"Ekonomi, administration och försäljning",0,0,0,30,25,25,2,xenter yrkeshögskola
Xenter Yrkeshögskola ,Xenter Yrkeshögskola ,Juridik,0,0,0,0,0,0,1,xenter yrkeshögskola
YA Yrkeshögskola AB - Dinnovate,YA Yrkeshögskola AB - Dinnovate,"Ekonomi, administration och försäljning",0,0,0,80,0,0,2,ya yrkeshögskola dinnovate
YH Akademin AB,YH Akademin AB,Data/IT,0,0,0,0,115,115,4,akademin
YH Akademin AB,YH Akademin AB,"Ekonomi, administration och försäljning",0,0,0,0,90,90,6,akademin
YH Akademin AB,YH Akademin AB,"Hotell, restaurang och turism",0,0,0,0,0,0,3,akademin
YH Akademin AB,YH Akademin AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,4,akademin
YH Akademin AB,YH Akademin AB,Juridik,0,0,0,0,0,0,2,akademin
YH Akademin AB,YH Akademin AB,Samhällsbyggnad och byggteknik,0,0,0,0,65,65,6,akademin
YH Akademin AB,YH Akademin AB,Teknik och tillverkning,0,0,0,0,165,165,10,akademin
YH Akademin,YH Akademin(Marknad),"Ekonomi, administration och försäljning",0,0,0,0,0,0,1,akademin(marknad)
YrkesAkademin YH AB,YrkesAkademin YH AB,Data/IT,0,60,160,230,90,0,8,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,"Ekonomi, administration och försäljning",40,35,150,365,25,0,12,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,"Hotell, restaurang och turism",70,30,90,160,70,0,12,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Hälso- och sjukvård samt socialt arbete,45,0,0,80,0,0,5,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Juridik,0,0,0,35,0,0,1,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,35,60,0,0,2,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Pedagogik och undervisning,60,0,0,0,0,0,3,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Samhällsbyggnad och byggteknik,80,0,20,195,50,0,8,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Teknik och tillverkning,160,175,315,485,205,0,22,yrkesakademin
YrkesAkademin YH AB,YrkesAkademin YH AB,Transporttjänster,0,30,60,0,0,0,1,yrkesakademin
YrkesAkademin YH AB,Yrkesakademin YH AB,"Hotell, restaurang och turism",60,30,0,0,0,0,6,yrkesakademin
"Älmhults kommun, Haganässkolan","Älmhults kommun, Haganässkolan","Kultur, media och design",0,0,0,0,0,0,1,älmhults
Åsbro Kursgård AB,Åsbro Kursgård AB,Teknik och tillverkning,0,0,0,0,0,0,2,åsbro kursgård
Östsvenska Yrkeshögskolan AB,Östsvenska Yrkeshögskolan AB,Data/IT,30,30,0,0,0,0,1,östsvenska yrkeshögskolan
Östsvenska Yrkeshögskolan AB,Östsvenska Yrkeshögskolan AB,"Ekonomi, administration och försäljning",0,0,25,50,20,40,3,östsvenska yrkeshögskolan
Östsvenska Yrkeshögskolan AB,Östsvenska Yrkeshögskolan AB,Samhällsbyggnad och byggteknik,30,60,120,0,0,0,3,östsvenska yrkeshögskolan
Östsvenska Yrkeshögskolan AB,Östsvenska Yrkeshögskolan AB,Teknik och tillverkning,60,60,0,0,0,0,3,östsvenska yrkeshögskolan
