,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025
71,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,Data/IT,0,50,50,0,35,35
72,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Samhällsbyggnad och byggteknik,0,0,0,20,20,20
73,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Transporttjänster,40,80,0,0,0,0
74,Folkuniversitetet- stiftelsen kursverksamheten vid Uppsala universitet,Samhällsbyggnad och byggteknik,20,20,0,0,0,0
75,Fordonsakademin Sverige AB,"Ekonomi, administration och försäljning",0,0,0,15,45,15
76,Funka Academy AB,Journalistik och information,0,0,0,0,0,0
77,Företagsekonomiska Institutet 1888 AB,Data/IT,0,0,0,0,50,50
78,Företagsekonomiska Institutet 1888 AB,"Ekonomi, administration och försäljning",0,0,0,80,0,0
79,Företagsekonomiska Institutet 1888 AB,"Hotell, restaurang och turism",0,0,0,80,0,0
80,Företagsekonomiska Institutet 1888 AB,Säkerhetstjänster,0,0,0,0,0,0
81,Företagsuniversitetet AB,Data/IT,0,30,120,255,290,70
82,Företagsuniversitetet AB,"Ekonomi, administration och försäljning",0,35,100,170,210,60
83,Företagsuniversitetet AB,Säkerhetstjänster,99,158,120,230,180,0
84,Gislaveds Kommun Vuxenutbildningen /Hph,Hälso- och sjukvård samt socialt arbete,20,20,0,75,0,0
85,Gislaveds Kommun Vuxenutbildningen /Hph,Teknik och tillverkning,20,20,0,25,0,0
86,Grit Academy,Data/IT,0,0,0,0,0,0
87,Grit Academy AB,Data/IT,0,0,0,30,0,0
88,Grit Academy AB,"Ekonomi, administration och försäljning",0,0,0,90,0,0
89,Gunnebo Slott och Trädgårdar AB,"Lantbruk, djurvård, trädgård, skog och fiske",25,0,25,25,25,50
90,"Göteborgs Stad, Yrgo",Data/IT,0,0,0,0,0,0
91,"Göteborgs Stad, Yrgo","Ekonomi, administration och försäljning",0,28,28,28,28,0
92,"Göteborgs Stad, Yrgo",Hälso- och sjukvård samt socialt arbete,40,0,75,100,0,0
93,"Göteborgs Stad, Yrgo",Journalistik och information,0,0,30,60,0,0
94,"Göteborgs Stad, Yrgo",Juridik,0,0,0,0,0,0
95,"Göteborgs Stad, Yrgo",Pedagogik och undervisning,0,0,0,80,25,0
96,"Göteborgs Stad, Yrgo",Samhällsbyggnad och byggteknik,0,20,80,0,0,0
97,"Göteborgs Stad, Yrgo",Säkerhetstjänster,0,0,0,30,25,25
98,"Göteborgs Stad, Yrgo",Teknik och tillverkning,90,50,90,110,20,20
99,"Göteborgs Stad, Yrgo",Transporttjänster,0,25,50,25,0,0
100,Göteborgs Tekniska College AB,Data/IT,40,160,0,0,0,0
101,Göteborgs Tekniska College AB,Teknik och tillverkning,50,60,140,140,220,100
102,"Göteborgs stad, Yrgo",Data/IT,50,0,0,0,0,0
103,"Göteborgs stad, Yrgo","Ekonomi, administration och försäljning",25,0,0,0,0,0
104,"Göteborgs stad, Yrgo","Hotell, restaurang och turism",25,0,0,0,0,0
