,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025
310,TUC Sweden AB - Yrkeshögskola,"Hotell, restaurang och turism",30,60,30,60,0,0
311,TUC Sweden AB - Yrkeshögskola,Hälso- och sjukvård samt socialt arbete,56,179,225,260,240,30
312,TUC Sweden AB - Yrkeshögskola,Samhällsbyggnad och byggteknik,40,100,40,145,80,0
313,TUC Sweden AB - Yrkeshögskola,Säkerhetstjänster,0,25,60,25,0,0
314,TUC Sweden AB - Yrkeshögskola,Teknik och tillverkning,0,0,40,80,0,0
315,TUC Sweden AB - yrkeshögskola,Data/IT,20,40,0,0,0,0
316,TUC Sweden AB - yrkeshögskola,Samhällsbyggnad och byggteknik,15,55,0,0,0,0
317,Technigo AB,Data/IT,0,0,0,140,0,0
318,Technigo AB,"Ekonomi, administration och försäljning",0,0,0,120,0,0
319,Tekniska Högskolan i Jönköping AB,Samhällsbyggnad och byggteknik,20,40,0,0,0,0
320,Tekniska Högskolan i Jönköping AB,Teknik och tillverkning,15,15,60,100,20,0
321,Tibro Hantverksakademi,"Ekonomi, administration och försäljning",0,0,0,20,0,0
322,Trelleborgs kommun,"Ekonomi, administration och försäljning",0,0,0,25,0,0
323,Trelleborgs kommun,Hälso- och sjukvård samt socialt arbete,60,120,30,60,0,0
324,Trelleborgs kommun,Teknik och tillverkning,0,0,30,60,25,25
325,"Uddevalla kommun, Vuxenutbildningen","Ekonomi, administration och försäljning",25,0,0,0,0,0
326,Umeå kommun - Dragonskolan,Teknik och tillverkning,0,0,0,35,0,0
327,Umeå kommun - Forslundagymnasiet,"Ekonomi, administration och försäljning",0,0,35,35,0,0
328,Universal Design Ventures AB ( Under namn ändring till Funka Academy AB),Journalistik och information,0,0,0,80,0,0
329,Utbildarna i Helsingborg AB,Pedagogik och undervisning,15,0,0,0,0,0
330,Vetlanda kommun Vetlanda Lärcentrum,Samhällsbyggnad och byggteknik,0,0,0,15,0,0
331,Vetlanda kommun Vetlanda Lärcentrum,Teknik och tillverkning,0,0,0,15,15,0
332,"Vilhelmina kommun, Vilhelmina Lärcentrum","Ekonomi, administration och försäljning",0,0,30,60,0,0
333,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,"Ekonomi, administration och försäljning",0,0,0,20,40,0
334,Västerås Stad/Barn- och Utbildningsförvaltningen/Västerås Yrkeshögskola,Teknik och tillverkning,0,20,60,20,40,25
335,XeDrix AB,Teknik och tillverkning,0,0,0,0,70,70
336,Xenter Yrkeshögskola ,"Ekonomi, administration och försäljning",0,0,0,30,25,25
337,Xenter Yrkeshögskola ,Juridik,0,0,0,0,0,0
338,YA Yrkeshögskola AB - Dinnovate,"Ekonomi, administration och försäljning",0,0,0,80,0,0
339,YH Akademin AB,Data/IT,0,0,0,0,115,115
340,YH Akademin AB,"Ekonomi, administration och försäljning",0,0,0,0,90,90
341,YH Akademin AB,"Hotell, restaurang och turism",0,0,0,0,0,0
342,YH Akademin AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0
343,YH Akademin AB,Juridik,0,0,0,0,0,0
344,YH Akademin AB,Samhällsbyggnad och byggteknik,0,0,0,0,65,65
345,YH Akademin AB,Teknik och tillverkning,0,0,0,0,165,165
346,YH Akademin(Marknad),"Ekonomi, administration och försäljning",0,0,0,0,0,0
347,YrkesAkademin YH AB,Data/IT,0,60,160,230,90,0
348,YrkesAkademin YH AB,"Ekonomi, administration och försäljning",40,35,150,365,25,0
349,YrkesAkademin YH AB,"Hotell, restaurang och turism",70,30,90,160,70,0
350,YrkesAkademin YH AB,Hälso- och sjukvård samt socialt arbete,45,0,0,80,0,0
351,YrkesAkademin YH AB,Juridik,0,0,0,35,0,0
352,YrkesAkademin YH AB,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,35,60,0,0
353,YrkesAkademin YH AB,Pedagogik och undervisning,60,0,0,0,0,0
354,YrkesAkademin YH AB,Samhällsbyggnad och byggteknik,80,0,20,195,50,0
355,YrkesAkademin YH AB,Teknik och tillverkning,160,175,315,485,205,0
356,YrkesAkademin YH AB,Transporttjänster,0,30,60,0,0,0
357,Yrkesakademin YH AB,"Hotell, restaurang och turism",60,30,0,0,0,0
358,"Älmhults kommun, Haganässkolan","Kultur, media och design",0,0,0,0,0,0
359,Åsbro Kursgård AB,Teknik och tillverkning,0,0,0,0,0,0
360,Östsvenska Yrkeshögskolan AB,Data/IT,30,30,0,0,0,0
361,Östsvenska Yrkeshögskolan AB,"Ekonomi, administration och försäljning",0,0,25,50,20,40
362,Östsvenska Yrkeshögskolan AB,Samhällsbyggnad och byggteknik,30,60,120,0,0,0
363,Östsvenska Yrkeshögskolan AB,Teknik och tillverkning,60,60,0,0,0,0
